Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,PEAK_HARDNESS_STD,VALLEY_HARDNESS_AVERAGE,VALLEY_HARDNESS_STD,STRAIN_RATE_SENSITIVITY,STRAIN_RATE_SENSITIVITY_STD,ACTIVATION_VOLUME,ACTIVATION_VOLUME_STD,Area Mean,Area Std,equivalent_diameter Mean,equivalent_diameter Std,orientation Mean 0,orientation Std 0,orientation Mean 1,orientation Std 1,Aspect Ratio Mean,Aspect Ratio Std,orientation Mean 2,orientation Std 2,Crystal Type,euler_angle_max,euler_angle_std,euler_angle_2nd_max,euler_angle_2nd_std,mode_euler_angle,prob_threshold
Carl,10,1,,,,,,,,,4.081466076809617,4.517106322937283,1.97374730677373,1.1406163151965416,-58.18350834714469,6.343472458340226,-69.13578971981963,10.527145897007864,2.943423690654872,2.073833202871222,,,Double Crystal,[159.03838183  56.75992074  69.50797958],[1.6986436 4.6712699 2.1233045],[0. 0. 0.],[0. 0. 0.],[156  56  69],0.08
Carl,10,2,2.539708290604623,0.0077280515353247,2.4344809308541397,0.0220228499853927,0.0091887297922379,0.0094195578098991,56.59286009317573,12.552293883638924,2.49204851826151,2.6963168297526763,1.5842299780541906,0.814364842981106,49.67849920449781,18.89304662010907,,,2.3588165120561286,1.7614055283701364,,,Double Crystal,[ 55.35000052 115.16627294 357.17987411],[1.11416286 0.38469282 0.30390537],[ 72.82193595  65.17009033 242.02562469],[0.94631439 0.87511181 1.49538438],[ 72  69 242],0.05
Carl,10,3,,,2.680916325148007,0.0168539522160458,,,,,2.343739232128238,2.512283263125183,1.5406416142015156,0.7813865173417358,-67.45061255512441,12.418412039114802,,,2.1094167951375438,1.3242608574432957,,,Single Crystal,[ 55.18795373 107.23723606 250.1649471 ],[0.84481361 1.99372954 1.48671387],[331.47834389  71.61489722 340.02833524],[1.04056777 2.87546903 1.05536116],[ 55 107 250],0.05
Carl,10,4,,,,,,,,,2.904832941400198,2.9501936068167534,1.7129192920650729,0.8743315565112482,-60.05885237510425,8.144558161875175,,,3.1225408334672484,2.2671017815933223,,,Double Crystal,[ 55.71151397  17.65966076 248.19279056],[0.68797128 0.34082698 0.3029109 ],[125.42164451 102.4193242    0.        ],[0.55435126 0.35957922 0.        ],[ 54  17 248],0.03
Carl,10,5,,,2.616347093387332,0.0375852607011349,,,,,1.3297653333910997,0.9014389553335688,1.2346906497799286,0.4106687315069207,12.301450915239217,16.85091025131225,67.82958514049514,13.650720068951,1.6126610647621524,0.5514011275882822,,,,,,,,,
Carl,10,6,3.008751298553749,0.0053443042569844,2.94305924331934,0.0381166402905618,0.0047936431270468,0.0055710966847468,90.65201609363264,53.11370901708251,1.326758903670437,0.7610592159558245,1.2490598068846637,0.3593487182499996,-59.34321075536394,16.082999522147336,,,1.6150746255382908,0.6067393442521645,,,,,,,,,
Carl,10,7,,,2.465501552830752,0.026295421812147,,,,,1.2465018351060468,0.8015943264043822,1.2024233456954718,0.3758637077033056,-12.63228209073898,19.03207617904791,34.95179769488868,18.077235695176764,1.5721886607818054,0.4553713096897567,,,Single Crystal,[348.01139201  62.63049787 229.59081477],[1.10934353 2.30577987 1.08700304],[0. 0. 0.],[0. 0. 0.],[347  60 228],0.05
Carl,10,8,2.5562138604967126,0.0072737356976755,2.4439578196174816,0.0258826118523056,0.0097517396276144,0.0100382657724164,53.04941454990493,12.705302262123942,1.4107804207719026,0.9285501274078606,1.2756417045113535,0.4110956851832283,-65.65167345658952,13.84291215724675,-28.84055758179123,15.242344319942344,1.606171850394476,0.4649960653949175,,,Double Crystal,[350.13230988  62.98489375 230.1228247 ],[1.20867951 1.78634527 1.00983719],[63.3261245  15.17186082  0.        ],[0.68289361 1.25433421 0.        ],[350  63 230],0.05
Carl,10,9,,,2.496356251159299,0.0225258431832468,,,,,4.5231630619411645,5.212166584260971,2.035356212830881,1.2713753044005565,66.56402653670415,9.479390422792342,38.81493241514653,5.997895915244614,4.531209577268078,3.965439361375868,,,Double Crystal,[244.45139764  75.48934383 357.29629054],[1.49517209 1.19350652 0.41008299],[201.79652326   0.         157.49868524],[2.39617179 0.         1.12538514],[245  74 158],0.05
Carl,10,10,2.9934256667020684,0.017171832758953,2.8373945506366534,0.0160487526918057,0.0116243739100867,0.011755266103765,38.16621580683147,5.749210442993944,4.890138683728256,5.883750552398306,2.105988056224525,1.338331893964131,32.32547888935188,6.411875206448199,,,4.583842990302236,4.494478403382459,,,Polycrystal,[105.53990875  92.82316635 355.48840529],[0.76163282 2.435274   0.72908619],[63.33898883 78.60991692  0.        ],[1.14706267 1.43859662 0.        ],[ 62  78 355],0.05
Carl,10,11,2.7690784123976337,0.0057781259784547,2.699841056084538,0.03695993223124,0.0054985282959004,0.0062670499510035,86.01017666538256,46.47120327832031,11.702396585653991,10.543335393369482,3.3508034797023587,1.9162646324145785,-55.45626881726324,2.1746398778225022,,,11.287140047997298,9.096445092291953,,,Double Crystal,[246.27085664  94.98831227 355.26579686],[1.67362123 0.43065611 1.29833825],[155.73716517   0.         177.19669349],[0.84312756 0.         2.6285968 ],[246  91 354],0.05
Carl,10,12,,,2.443899370136731,0.0309401907056537,,,,,2.9454036603093727,3.1676906635960966,1.7142563799593893,0.9008493099748248,79.94274692599275,7.204325481020846,-67.66752383323187,15.394614728777048,2.931421847474314,2.314823010438461,,,Polycrystal,[ 64.00712494 104.41076507 355.48924324],[1.01170582 1.02810747 0.6924501 ],[245.5103941  14.1354346   0.       ],[1.07405533 1.09810992 0.        ],[ 64 104 355],0.05
Carl,10,13,,,2.6252815496775237,0.0369989450610718,,,,,4.270265784347242,5.22519523835858,1.961002277884967,1.2615630500654325,32.37606881076666,6.349511221893761,-62.95576508654739,12.556715190020386,3.721739112263226,3.778577838638536,,,Double Crystal,[243.65235643  86.0260649  353.69917842],[1.04004172 1.58572536 0.83763435],[0. 0. 0.],[0. 0. 0.],[242  84 359],0.05
Carl,10,14,,,2.5497564398607104,0.0324335318631304,,,,,6.641512628516139,6.211250702736479,2.5163051911148164,1.4575474951621137,32.55401626985974,2.149730142148286,-57.82591552972301,7.453176894847466,7.769667608130833,7.106473194090758,,,Single Crystal,[244.3670511   88.54602639 353.63060969],[0.89699549 1.24595738 0.73068917],[0. 0. 0.],[0. 0. 0.],[244  89 353],0.05
