,r,g_true
193,1.93,-1.1430664267169195
194,1.94,-1.149162771891627
195,1.95,-1.1552551655537118
196,1.96,-1.161332884243672
197,1.97,-1.167386393299545
198,1.98,-1.1734079445530707
199,1.99,-1.1793920484197116
200,2.0,-1.185335790585193
201,2.0100000000000002,-1.1912389738075397
202,2.02,-1.1971040769014334
203,2.0300000000000002,-1.202936034997093
204,2.04,-1.2087418568813713
205,2.05,-1.2145301058640259
206,2.06,-1.2203102794636291
207,2.07,-1.2260921296843053
208,2.08,-1.2318849693171678
209,2.09,-1.2376970102903764
210,2.1,-1.243534777550006
211,2.11,-1.2494026364253388
212,2.12,-1.2553024632586154
213,2.13,-1.2612334787785098
214,2.14,-1.2671922519301868
215,2.15,-1.273172869406518
216,2.16,-1.2791672537712868
217,2.17,-1.2851656016425816
218,2.18,-1.29115690367594
219,2.19,-1.2971295007103822
220,2.2,-1.3030716259257316
221,2.21,-1.3089718815312348
222,2.22,-1.3148196004803938
223,2.23,-1.3206050488832306
224,2.24,-1.3263194328491337
225,2.25,-1.3319546839291183
226,2.2600000000000002,-1.3375030094601577
227,2.27,-1.3429562071502148
228,2.2800000000000002,-1.348304756317042
229,2.29,-1.3535367104334926
230,2.3000000000000003,-1.358636426214818
231,2.31,-1.3635831726961147
232,2.32,-1.3683496690394212
233,2.33,-1.3729006018332663
234,2.34,-1.3771911712905924
235,2.35,-1.3811657111514992
236,2.36,-1.3847564196403956
237,2.37,-1.38788222912694
238,2.38,-1.3904478310034833
239,2.39,-1.3923428606679635
240,2.4,-1.3934412364193078
241,2.41,-1.393600636569496
242,2.42,-1.3926620921225314
243,2.43,-1.3904496687932668
244,2.44,-1.3867702125545396
245,2.45,-1.3814131376548646
246,2.46,-1.374150245171801
247,2.47,-1.3647355733483604
248,2.48,-1.3529052975466622
249,2.49,-1.3383777166625959
250,2.5,-1.320853383009528
251,2.5100000000000002,-1.300015452506057
252,2.52,-1.2755303498576938
253,2.5300000000000002,-1.2470488576237118
254,2.54,-1.2142077469860364
255,2.5500000000000003,-1.1766320702336612
256,2.56,-1.1339382292668887
257,2.57,-1.0857379200082429
258,2.58,-1.031643029135544
259,2.59,-0.9712715271994797
260,2.6,-0.9042543616774545
261,2.61,-0.8302433061282477
262,2.62,-0.7489196691578708
263,2.63,-0.6600037116641102
264,2.64,-0.5632645654514069
265,2.65,-0.45853039371325355
266,2.66,-0.34569848709837653
267,2.67,-0.22474495110199944
268,2.68,-0.09573361414279113
269,2.69,0.04117622668119847
270,2.7,0.18572360162212215
271,2.71,0.3375415648739399
272,2.72,0.4961551122002975
273,2.73,0.6609815845313207
274,2.74,0.8313337509328882
275,2.75,1.0064256789559098
276,2.7600000000000002,1.1853814040433535
277,2.77,1.3672463060564617
278,2.7800000000000002,1.5510009942974605
279,2.79,1.7355773972674622
280,2.8000000000000003,1.9198766546058845
281,2.81,2.102788320974549
282,2.82,2.2832103195660856
283,2.83,2.460069030419502
284,2.84,2.6323388690831733
285,2.85,2.799060706735509
286,2.86,2.959358504953059
287,2.87,3.112453587034397
288,2.88,3.2576760420552904
289,2.89,3.394472855340625
290,2.9,3.522412476335519
291,2.91,3.6411856674582572
292,2.92,3.7506026200870224
293,2.93,3.850586470410142
294,2.94,3.941163492128788
295,2.95,4.022450378536763
296,2.96,4.094639147127765
297,2.97,4.157980299926758
298,2.98,4.212764947333971
299,2.99,4.259306648577039
300,3.0,4.297923735306175
301,3.0100000000000002,4.328922865254454
302,3.02,4.352584500519186
303,3.0300000000000002,4.369150921701029
304,3.04,4.378817278111417
305,3.0500000000000003,4.381726040094836
306,3.06,4.377965067912226
307,3.0700000000000003,4.367569349182402
308,3.08,4.350526290760438
309,3.09,4.326784288591309
310,3.1,4.29626414788417
311,3.11,4.258872792854246
312,3.12,4.214518596472562
313,3.13,4.163127581295116
314,3.14,4.104659696359684
315,3.15,4.039124364693096
316,3.16,3.9665945219012846
317,3.17,3.887218427690158
318,3.18,3.8012286264248067
319,3.19,3.708947555888912
320,3.2,3.6107894498223363
321,3.21,3.507258343060884
322,3.22,3.398942160848249
323,3.23,3.286503048346032
324,3.24,3.1706642646464
325,3.25,3.052194120075974
326,3.2600000000000002,2.931887569278072
327,3.27,2.8105461794348754
328,3.2800000000000002,2.688957268237619
329,3.29,2.5678730464847552
330,3.3000000000000003,2.4479906037501227
331,3.31,2.3299335423678373
332,3.3200000000000003,2.214235996665498
333,3.33,2.101329674180395
334,3.34,1.9915344281948555
335,3.35,1.8850527222206288
336,3.36,1.7819681838730042
337,3.37,1.6822482753314727
338,3.38,1.585750937964546
339,3.39,1.492234907269262
340,3.4,1.401373248143741
341,3.41,1.3127695359819815
342,3.42,1.225976011382261
343,3.43,1.1405129693086922
344,3.44,1.0558886097758455
345,3.45,0.9716185774020922
346,3.46,0.8872444507736944
347,3.47,0.8023505072253386
348,3.48,0.7165781807266141
349,3.49,0.6296377452248282
350,3.5,0.5413168872481957
351,3.5100000000000002,0.45148597338849844
352,3.52,0.3600999637030185
353,3.5300000000000002,0.2671970643516252
354,3.54,0.1728943454978602
355,3.5500000000000003,0.07738066786648118
356,3.56,-0.019092641523747123
357,3.5700000000000003,-0.11622285082034908
358,3.58,-0.21366806176768185
359,3.59,-0.3110600459681753
360,3.6,-0.4080171083697581
361,3.61,-0.5041564418145232
362,3.62,-0.5991054940704567
363,3.63,-0.6925119457085767
364,3.64,-0.7840519888730236
365,3.65,-0.8734366982539533
366,3.66,-0.9604163909643675
367,3.67,-1.0447829760991056
368,3.68,-1.1263703923555521
369,3.69,-1.2050533185967058
370,3.7,-1.280744413770253
371,3.71,-1.353390396226033
372,3.72,-1.422967306314921
373,3.73,-1.4894753094361115
374,3.74,-1.5529333897753061
375,3.75,-1.613374259252131
376,3.7600000000000002,-1.6708397640284207
377,3.77,-1.72537701546716
378,3.7800000000000002,-1.77703540741571
379,3.79,-1.8258646112286632
380,3.8000000000000003,-1.8719135682923629
381,3.81,-1.9152304311108406
382,3.8200000000000003,-1.9558633420818894
383,3.83,-1.993861887227263
384,3.84,-2.0292790229464264
385,3.85,-2.0621732491291676
386,3.86,-2.092610792590671
387,3.87,-2.120667570774095
388,3.88,-2.146430726107739
389,3.89,-2.1699995546076107
390,3.9,-2.191485695896098
391,3.91,-2.2110125028465846
392,3.92,-2.228713564295472
393,3.93,-2.244730410266792
394,3.94,-2.2592094825569133
395,3.95,-2.2722985011941534
396,3.96,-2.284142396501067
397,3.97,-2.2948790050878114
398,3.98,-2.304634744608495
399,3.99,-2.313520485776673
400,4.0,-2.3216278309893683
401,4.01,-2.329025987729323
402,4.0200000000000005,-2.335759393170747
403,4.03,-2.3418462061611827
404,4.04,-2.347277736504918
405,4.05,-2.3520188320455744
406,4.0600000000000005,-2.356009194380679
407,4.07,-2.3591655470374815
408,4.08,-2.361384538280289
409,4.09,-2.3625462267197657
410,4.1,-2.3625179733702644
411,4.11,-2.3611585499716217
412,4.12,-2.3583222708180442
413,4.13,-2.353862963898892
414,4.14,-2.347637616072417
415,4.15,-2.3395095548765905
416,4.16,-2.329351064530831
417,4.17,-2.3170453734062426
418,4.18,-2.3024879921988495
419,4.19,-2.285587423595422
420,4.2,-2.266265302807242
421,4.21,-2.244456061615908
422,4.22,-2.2201062345396827
423,4.23,-2.1931735428780392
424,4.24,-2.1636258997785016
425,4.25,-2.1314404767630264
426,4.26,-2.096602959652193
427,4.2700000000000005,-2.0591071004456905
428,4.28,-2.018954642919387
429,4.29,-1.9761556654050114
430,4.3,-1.9307293466921442
431,4.3100000000000005,-1.8827051227004081
432,4.32,-1.8321241650320987
433,4.33,-1.7790410801504843
434,4.34,-1.7235257019076728
435,4.3500000000000005,-1.6656648322586067
436,4.36,-1.6055637765448527
437,4.37,-1.543347521442359
438,4.38,-1.4791614156518498
439,4.39,-1.4131712351502006
440,4.4,-1.3455625451942987
441,4.41,-1.2765393086125072
442,4.42,-1.2063217321232047
443,4.43,-1.1351433870484051
444,4.44,-1.0632476852211723
445,4.45,-0.9908838324619323
446,4.46,-0.9183024181859103
447,4.47,-0.8457508282360962
448,4.48,-0.7734686870523282
449,4.49,-0.7016835434415799
450,4.5,-0.6306070107609345
451,4.51,-0.56043155716435
452,4.5200000000000005,-0.4913281152593656
453,4.53,-0.42344464426821615
454,4.54,-0.35690573336209785
455,4.55,-0.29181328449097177
456,4.5600000000000005,-0.22824825937717763
457,4.57,-0.16627342120887637
458,4.58,-0.10593694985053716
459,4.59,-0.04727676287588329
460,4.6000000000000005,0.009674664034787214
461,4.61,0.06488521265880208
462,4.62,0.11831802642115057
463,4.63,0.1699266606558696
464,4.64,0.2196507282447229
465,4.65,0.267412269202281
466,4.66,0.31311304043695526
467,4.67,0.3566328795891871
468,4.68,0.39782924667719943
469,4.69,0.43653799183153397
470,4.7,0.4725753395150415
471,4.71,0.5057410222742691
472,4.72,0.5358224431865168
473,4.73,0.5625996984982
474,4.74,0.5858512529001896
475,4.75,0.6053600313945641
476,4.76,0.6209196751466898
477,4.7700000000000005,0.6323407048208006
478,4.78,0.6394563437264617
479,4.79,0.6421277740456368
480,4.8,0.6402486312194953
481,4.8100000000000005,0.6337485824427402
482,4.82,0.6225958828737368
483,4.83,0.6067988550207404
484,4.84,0.5864062900183756
485,4.8500000000000005,0.5615068213378417
486,4.86,0.5322273691690999
487,4.87,0.4987307948254296
488,4.88,0.46121293699301674
489,4.89,0.41989922392145496
490,4.9,0.3750410667414701
491,4.91,0.3269122386417413
492,4.92,0.27580543290721227
493,4.93,0.2220291706948373
494,4.94,0.16590519832813755
495,4.95,0.10776647572199549
496,4.96,0.047955814549223874
497,4.97,-0.013174820600593107
498,4.98,-0.07526437998917579
499,4.99,-0.13794223982803888
500,5.0,-0.20082726861115296
501,5.01,-0.2635265911218809
502,5.0200000000000005,-0.3256342145698854
503,5.03,-0.3867296937526545
504,5.04,-0.4463770144931335
505,5.05,-0.5041238669413755
506,5.0600000000000005,-0.5595014632581109
507,5.07,-0.6120250288415878
508,5.08,-0.6611950641679989
509,5.09,-0.7064994373771454
510,5.1000000000000005,-0.7474163280559372
511,5.11,-0.7834180024556354
512,5.12,-0.8139753617947678
513,5.13,-0.8385631703626049
514,5.14,-0.8566658405943977
515,5.15,-0.8677836295230157
516,5.16,-0.8714390859731855
517,5.17,-0.8671835810270289
518,5.18,-0.854603755633745
519,5.19,-0.8333277282644274
520,5.2,-0.8030309212923595
521,5.21,-0.7634413860098659
522,5.22,-0.714344531297367
523,5.23,-0.6555871881878521
524,5.24,-0.5870809701101729
525,5.25,-0.5088049146925675
526,5.26,-0.4208074160751465
527,5.2700000000000005,-0.32320747539276556
528,5.28,-0.21619531046973722
529,5.29,-0.10003237324114228
530,5.3,0.0249491751550448
531,5.3100000000000005,0.15834748598121456
532,5.32,0.29969250489301713
533,5.33,0.44844789127178014
534,5.34,0.6040133676447306
535,5.3500000000000005,0.7657275086955506
536,5.36,0.9328709953944128
537,5.37,1.1046703734085095
538,5.38,1.2803023646526874
539,5.39,1.4588987853013953
540,5.4,1.6395521218306008
541,5.41,1.8213218081146183
542,5.42,2.003241231139903
543,5.43,2.184325470859508
544,5.44,2.3635797519064092
545,5.45,2.5400085525498395
546,5.46,2.712625281022216
547,5.47,2.880462393053681
548,5.48,3.042581789192924
549,5.49,3.198085298393529
550,5.5,3.3461250274684025
551,5.51,3.4859133362390646
552,5.5200000000000005,3.6167321871100846
553,5.53,3.737941616560478
554,5.54,3.8489870853637957
555,5.55,3.949405484395958
556,5.5600000000000005,4.03882960327739
557,5.57,4.1169909088874075
558,5.58,4.183720528535323
559,5.59,4.2389483863791355
560,5.6000000000000005,4.282700499299494
561,5.61,4.315094497371476
562,5.62,4.336333491722176
563,5.63,4.346698466329384
564,5.64,4.3465394177712415
565,5.65,4.3362655059251285
566,5.66,4.316334507378236
567,5.67,4.2872418805809405
568,5.68,4.249509756831695
569,5.69,4.203676163903872
570,5.7,4.150284769985146
571,5.71,4.089875405643249
572,5.72,4.022975582318984
573,5.73,3.950093179368406
574,5.74,3.871710420245634
575,5.75,3.7882792045495832
576,5.76,3.7002178089319737
577,5.7700000000000005,3.6079089187893922
578,5.78,3.511698906546773
579,5.79,3.411898233169478
580,5.8,3.3087828188818866
581,5.8100000000000005,3.2025962079894557
582,5.82,3.0935523417215918
583,5.83,2.9818387520949226
584,5.84,2.867619998354124
585,5.8500000000000005,2.751041184491311
586,5.86,2.6322314201570225
587,5.87,2.5113071161043194
588,5.88,2.388375037081954
589,5.89,2.263535067647904
590,5.9,2.1368826775807714
591,5.91,2.008511101453102
592,5.92,1.878513269802483
593,5.93,1.7469835458688658
594,5.94,1.614019331182993
595,5.95,1.479722605006311
596,5.96,1.3442014568649094
597,5.97,1.2075716588136507
598,5.98,1.069958305692865
599,5.99,0.9314975289649854
600,6.0,0.7923382645019239
601,6.01,0.6526440288774583
602,6.0200000000000005,0.5125946343057106
603,6.03,0.3723877512955037
604,6.04,0.23224021211408058
605,6.05,0.09238893872765158
606,6.0600000000000005,-0.04690862292495018
607,6.07,-0.18537467406414398
608,6.08,-0.32271193662918957
609,6.09,-0.45860530368651864
610,6.1000000000000005,-0.5927243115532872
611,6.11,-0.7247264433853058
612,6.12,-0.8542612350735559
613,6.13,-0.980975113664584
614,6.140000000000001,-1.1045168584031844
615,6.15,-1.2245435371736142
616,6.16,-1.340726738786124
617,6.17,-1.4527588962048552
618,6.18,-1.560359479098081
619,6.19,-1.6632808272404245
620,6.2,-1.7613134000316077
621,6.21,-1.8542902318854884
622,6.22,-1.9420904080812937
623,6.23,-2.0246414098912715
624,6.24,-2.1019202199249527
625,6.25,-2.1739531267380015
626,6.26,-2.2408142195780196
627,6.2700000000000005,-2.3026226171906297
628,6.28,-2.3595385263030484
629,6.29,-2.4117582731996667
630,6.3,-2.4595084933445155
631,6.3100000000000005,-2.5030396972351268
632,6.32,-2.542619453953617
633,6.33,-2.578525446080913
634,6.34,-2.6110386501914356
635,6.3500000000000005,-2.6404368860766176
636,6.36,-2.6669889557783506
637,6.37,-2.6909495616299526
638,6.38,-2.712555152479774
639,6.390000000000001,-2.732020801193274
640,6.4,-2.749538166767368
641,6.41,-2.7652745434845505
642,6.42,-2.779372950050002
643,6.43,-2.7919531660508405
644,6.44,-2.803113583571451
645,6.45,-2.8129337102570817
646,6.46,-2.8214771379528987
647,6.47,-2.8287947791500017
648,6.48,-2.8349281721736963
649,6.49,-2.8399126651103517
650,6.5,-2.8437803070947796
651,6.51,-2.8465623024783726
652,6.5200000000000005,-2.848290916857565
653,6.53,-2.849000761931389
654,6.54,-2.848729426444206
655,6.55,-2.847517460748731
656,6.5600000000000005,-2.8454077605460464
657,6.57,-2.842444429054858
658,6.58,-2.8386712244589325
659,6.59,-2.8341297195962656
660,6.6000000000000005,-2.8288573125653267
661,6.61,-2.8228852298186613
662,6.62,-2.8162366574999167
663,6.63,-2.80892512287173
664,6.640000000000001,-2.800953226756305
665,6.65,-2.792311801437734
666,6.66,-2.782979538225691
667,6.67,-2.772923096815505
668,6.68,-2.762097676734839
669,6.69,-2.750448001527828
670,6.7,-2.737909640712771
671,6.71,-2.7244105745047733
672,6.72,-2.7098728930020823
673,6.73,-2.6942145157449517
674,6.74,-2.6773508195465983
675,6.75,-2.6591960720582497
676,6.76,-2.639664584985483
677,6.7700000000000005,-2.618671523114017
678,6.78,-2.596133331865268
679,6.79,-2.5719677752520456
680,6.8,-2.5460936059474477
681,6.8100000000000005,-2.518429917773252
682,6.82,-2.488895256387274
683,6.83,-2.457406584617698
684,6.84,-2.4238782133603123
685,6.8500000000000005,-2.388220816201288
686,6.86,-2.350340645372417
687,6.87,-2.3101390581834336
688,6.88,-2.267512447091107
689,6.890000000000001,-2.2223526439090753
690,6.9,-2.1745478406099585
691,6.91,-2.1239840373454753
692,6.92,-2.070546994591081
693,6.93,-2.0141246327361624
694,6.94,-1.9546097910451654
695,6.95,-1.891903230672242
696,6.96,-1.8259167450763591
697,6.97,-1.7565762271933574
698,6.98,-1.6838245371111007
699,6.99,-1.6076240173282785
700,7.0,-1.5279585150122292
701,7.01,-1.4448347915419821
702,7.0200000000000005,-1.3582832280648292
703,7.03,-1.2683577703904307
704,7.04,-1.1751350955002322
705,7.05,-1.0787130231839612
706,7.0600000000000005,-0.9792082375835406
707,7.07,-0.8767534224374339
708,7.08,-0.7714939483682809
709,7.09,-0.6635842786439874
710,7.1000000000000005,-0.5531842797884344
711,7.11,-0.4404556339613076
712,7.12,-0.3255585503976559
713,7.13,-0.20864896316595016
714,7.140000000000001,-0.08987638239520573
715,7.15,0.03061746319209282
716,7.16,0.15269909175107352
717,7.17,0.27624278427449767
718,7.18,0.4011291405885112
719,7.19,0.5272427135136706
720,7.2,0.6544688069591869
721,7.21,0.7826895679798568
722,7.22,0.9117795414385529
723,7.23,1.041600886894315
724,7.24,1.1719984790766702
725,7.25,1.3027951246836682
726,7.26,1.4337871286582249
727,7.2700000000000005,1.5647404325206926
728,7.28,1.6953875262920368
729,7.29,1.8254253050895564
730,7.3,1.9545140031452122
731,7.3100000000000005,2.0822772937030396
732,7.32,2.208303595197901
733,7.33,2.332148574669551
734,7.34,2.4533387909286537
735,7.3500000000000005,2.571376374881951
736,7.36,2.685744604749639
737,7.37,2.7959142014592757
738,7.38,2.9013501456603117
739,7.390000000000001,3.001518803481767
740,7.4,3.0958951437504822
741,7.41,3.1839698347733827
742,7.42,3.2652560233343366
743,7.43,3.339295621175106
744,7.44,3.4056649534422365
745,7.45,3.463979657610782
746,7.46,3.513898758271581
747,7.47,3.5551278808423517
748,7.48,3.5874216037224644
749,7.49,3.610584981793929
750,7.5,3.6244743028638626
751,7.51,3.628997161367539
752,7.5200000000000005,3.6241119495249396
753,7.53,3.6098268747228683
754,7.54,3.5861986131842465
755,7.55,3.5533307044264997
756,7.5600000000000005,3.511371779439139
757,7.57,3.460513699097866
758,7.58,3.4009896595041957
759,7.59,3.3330722992799164
760,7.6000000000000005,3.2570718219966674
761,7.61,3.1733341264770902
762,7.62,3.08223892011424
763,7.63,2.984197776833702
764,7.640000000000001,2.8796520927735503
765,7.65,2.7690708897250835
766,7.66,2.6529484190148986
767,7.67,2.5318015265727447
768,7.68,2.4061667527989465
769,7.69,2.2765971575657975
770,7.7,2.1436588800348777
771,7.71,2.0079274635337265
772,7.72,1.8699839960009337
773,7.73,1.7304111349710287
774,7.74,1.5897891013229346
775,7.75,1.448691736844541
776,7.76,1.3076827261322015
777,7.7700000000000005,1.167312082846126
778,7.78,1.0281129936610807
779,7.79,0.890599100567371
780,7.8,0.7552622840666441
781,7.8100000000000005,0.6225709872128693
782,7.82,0.49296909462620925
783,7.83,0.36687535305067076
784,7.84,0.244683292380797
785,7.8500000000000005,0.12676158004425953
786,7.86,0.013454718839623105
787,7.87,-0.09491601972030352
788,7.88,-0.19805154658073063
789,7.890000000000001,-0.29567391604093685
790,7.9,-0.387525419369727
791,7.91,-0.47336792444186837
792,7.92,-0.5529825578860791
793,7.930000000000001,-0.626169803106635
794,7.94,-0.6927500592902601
795,7.95,-0.7525646746672839
796,7.96,-0.8054774336409235
797,7.97,-0.8513764438620212
798,7.98,-0.8901763378798376
799,7.99,-0.9218206765403146
800,8.0,-0.9462844195428779
801,8.01,-0.9635763139274426
802,8.02,-0.9737410447891355
803,8.03,-0.9768609948083583
804,8.040000000000001,-0.9730574703480619
805,8.05,-0.9624912715141454
806,8.06,-0.9453625108122821
807,8.07,-0.9219096185285716
808,8.08,-0.892407510992667
809,8.09,-0.8571649384388401
810,8.1,-0.8165210700676298
811,8.11,-0.770841412870336
812,8.120000000000001,-0.7205131956159975
813,8.13,-0.6659403781086864
814,8.14,-0.6075384666983802
815,8.15,-0.5457293287712395
816,8.16,-0.48093620073743526
817,8.17,-0.41357907559481644
818,8.18,-0.344070637752341
819,8.19,-0.27281288527823694
820,8.2,-0.2001945444388053
821,8.21,-0.12658934010657985
822,8.22,-0.05235514048814499
823,8.23,0.022166051959202904
824,8.24,0.09664733708440398
825,8.25,0.17077549673758874
826,8.26,0.24424906941742644
827,8.27,0.31677609994736117
828,8.28,0.3880717629963546
829,8.290000000000001,0.457856067334495
830,8.3,0.5258518445441612
831,8.31,0.5917832115111559
832,8.32,0.6553746710184967
833,8.33,0.7163509803542025
834,8.34,0.7744378757350542
835,8.35,0.8293636926803067
836,8.36,0.8808618716982103
837,8.370000000000001,0.9286742874165841
838,8.38,0.9725552902860932
839,8.39,1.0122763058043285
840,8.4,1.0476307992085487
841,8.41,1.0784393857614711
842,8.42,1.104554849635507
843,8.43,1.125866828962434
844,8.44,1.1423059312293338
845,8.45,1.153847061614159
846,8.46,1.1605117761996528
847,8.47,1.1623695108499914
848,8.48,1.159537582957269
849,8.49,1.1521799149530723
850,8.5,1.1405044828565454
851,8.51,1.1247595474879473
852,8.52,1.1052287776234861
853,8.53,1.0822254207665027
854,8.540000000000001,1.0560857161139283
855,8.55,1.0271617738624963
856,8.56,0.9958141638827585
857,8.57,0.9624044642125789
858,8.58,0.9272880156090015
859,8.59,0.8908071129758819
860,8.6,0.8532848388569272
861,8.61,0.8150197098660021
862,8.620000000000001,0.7762812658614285
863,8.63,0.7373066861169967
864,8.64,0.6982984691482184
865,8.65,0.6594231657213865
866,8.66,0.6208111103271365
867,8.67,0.5825570572492408
868,8.68,0.5447215951839883
869,8.69,0.5073331906196994
870,8.700000000000001,0.47039069582452925
871,8.71,0.433866152725266
